"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE","SOS","ECR VS ADP"
"213",11,"Evan McPherson",CIN,"K9","10","1 out of 5 stars","-17"
"214",11,"Anthony Richardson Sr.",IND,"QB29","11","3 out of 5 stars","-7"
"215",11,"New York Jets",NYJ,"DST14","9","5 out of 5 stars","-6"
"216",11,"Justice Hill",BAL,"RB60","7","4 out of 5 stars","-4"
"217",11,"Adonai Mitchell",IND,"WR79","11","4 out of 5 stars","+112"
"218",11,"Tyler Bass",BUF,"K10","7","2 out of 5 stars","-47"
"219",11,"Jaylin Noel",HOU,"WR80","6","4 out of 5 stars","+59"
"220",12,"Calvin Austin III",PIT,"WR81","5","4 out of 5 stars","+32"
"221",12,"Andrei Iosivas",CIN,"WR82","10","3 out of 5 stars","+45"
"222",12,"Jake Elliott",PHI,"K11","9","2 out of 5 stars","-66"
"223",12,"Dalton Schultz",HOU,"TE27","6","3 out of 5 stars","+7"
"224",12,"Kareem Hunt",KC,"RB61","10","2 out of 5 stars","-33"
"225",12,"Tyler Lockett",TEN,"WR83","10","4 out of 5 stars","+24"
"226",12,"Elic Ayomanor",TEN,"WR84","10","4 out of 5 stars","+88"
"227",12,"San Francisco 49ers",SF,"DST15","14","5 out of 5 stars","-64"
"228",12,"Devaughn Vele",DEN,"WR85","12","3 out of 5 stars","+167"
"229",12,"Jason Sanders",MIA,"K12","12","2 out of 5 stars","-48"
"230",12,"Jaleel McLaughlin",DEN,"RB62","12","2 out of 5 stars","+63"
"231",12,"Russell Wilson",NYG,"QB30","14","1 out of 5 stars","+28"
"232",12,"Kendre Miller",NO,"RB63","11","4 out of 5 stars","+5"
"233",12,"Kyle Monangai",CHI,"RB64","5","3 out of 5 stars","+29"
"234",12,"Diontae Johnson",CLE,"WR86","9","2 out of 5 stars","+84"
"235",12,"Younghoe Koo",ATL,"K13","5","4 out of 5 stars","-43"
